dict	raw_key	count
mw	Ragh.	1926
mw	Kāś.	1736
mw	Pat.	1630
mw	Sāh.	1604
mw	MārkP.	1484
mw	Car.	1481
mw	Yājñ.	1400
mw	Hit.	1397
mw	AitBr.	1366
mw	Pur.	1281
mw	Bhpr.	1278
mw	Daś.	1186
mw	TBr.	1161
mw	Śiś.	1147
mw	Śak.	1134
mw	Hcat.	1126
mw	Kād.	1113
mw	Sarvad.	1053
mw	Kauś.	1043
mw	Var.	1039
mw	MaitrS.	952
mw	Gal.	943
pw	OPP. CAT. 1	1727
pw	ebend.	489
pw	ĀRṢ. BR.	418
pw	NĪLAK.	291
pw	PAÑCAD.	282
pw	OPP. Cat. 1	272
pw	BHĀG. P.	148
pw	Nachtr. 5	101
pw	Nachtr. 3	99
pw	ŚAT. BR.	97
pw	CARAKA. 1,27	96
pw	CARAKA. 3,8	82
pw	AUFRECHT	82
pw	Nachtr. 4	81
pw	Nachtr. 1	79
pw	Nachtr. 2	77
pw	Nachtr. 6	73
pw	MAHĪDH.	64
pw	CARAKA. 6,18	59
pw	Comm. zu TS. PRĀT.	58
pw	VP.²	53
pw	HALL	52
pw	11	49
pw	CARAKA. 6,3	47
pw	6	46
pw	12	42
pw	CARAKA. 6,23	41
pw	AUFRECHT.	41
pw	Padap.	40
pw	CARAKA. 6,2	40
pw	26	39
pw	CARAKA. 6,24	39
pw	20	38
pw	5	38
pw	CARAKA. 1,15	37
pw	17	36
pw	7	36
pw	Ind. St. 15	36
pw	CARAKA. 6,1	36
pw	22	35
pwg	WILSON	1571
pwg	UJJVAL.	1499
pwg	ebend.	1380
pwg	5	930
pwg	6	874
pwg	8	853
pwg	9	853
pwg	7	834
pwg	10	806
pwg	4	801
pwg	3	786
pwg	2	750
pwg	ŚABDĀRTHAK.	705
pwg	11	696
pwg	14	679
pwg	12	643
pwg	18	619
pwg	13	615
pwg	17	608
pwg	15	606
pwg	16	593
pwg	19	568
pwg	20	561
pwg	VIŚVA	491
pwg	21	485
pwg	22	424
pwg	23	364
pwg	24	351
pwg	25	344
pwg	26	331
pwg	27	317
pwg	29	290
pwg	33	277
pwg	28	276
pwg	30	266
pwg	AUFRECHT	264
pwg	36	263
pwg	padap.	254
pwg	32	249
pwg	31	248
pwkvn	OPP. Cat. 1	272
pwkvn	ZACH. Beitr.	117
pwkvn	ebend.	102
pwkvn	ANIRUDDHA	86
pwkvn	AUFRECHT	74
pwkvn	SUD.	49
pwkvn	Nachtr. 1	47
pwkvn	DĀRILA	47
pwkvn	Nachtr. 2	40
pwkvn	JĀTAKAM. 23	31
pwkvn	HAR.	26
pwkvn	MAHĀDEVA	25
pwkvn	6	24
pwkvn	7	23
pwkvn	VAITĀN.	23
pwkvn	11	21
pwkvn	MAHĀVY. 245	21
pwkvn	10	20
pwkvn	JĀTAKAM. 31	20
pwkvn	Nachtr. 3	19
pwkvn	5	18
pwkvn	Nachtr. 4	18
pwkvn	JĀTAKAM. 21	18
pwkvn	JĀTAKAM. 9	18
pwkvn	JĀTAKAM. 28	18
pwkvn	MAHĀVY. 21	18
pwkvn	17	17
pwkvn	BÜHLER	17
pwkvn	JĀTAKAM. 22	17
pwkvn	27	16
pwkvn	BṚHASPATI	16
pwkvn	20	15
pwkvn	9	15
pwkvn	15	15
pwkvn	26	15
pwkvn	ROTH	15
pwkvn	Nachtr. 5	15
pwkvn	JĀTAKAM. 20	15
pwkvn	3	14
pwkvn	2	14
sch	Opp. Cat. 1.	460
sch	J. J. Meyer	261
sch	Kaus.	180
sch	Zach.	148
sch	Harṣac.	63
sch	Mālatīm.	55
sch	Lakṣmaṇasūri	55
sch	Kaśm. Śiv.	53
sch	Sud.	49
sch	Dārila	46
sch	Kād.	37
sch	Śṛṅgārasarv.	33
sch	Kauṭ. II,11	28
sch	Bühler, Rep.	27
sch	Jātakam. 23.	27
sch	Har.	26
sch	Vaitān.	20
sch	Mahāvy. 245.	19
sch	Paddh.	18
sch	Kaṃs. III,22	18
sch	Pārvat.	17
sch	Jātakam. 31.	17
sch	Mahāvy. 21.	17
sch	Gal.	15
sch	Rasas.	14
sch	S	14
sch	Vijñ.	14
sch	Jātakam. 7.	13
sch	Jātakam. 21.	13
sch	Jātakam. 22.	13
sch	Jātakam. 9.	13
sch	Jātakam. 8.	13
sch	Bhānudatta's Alaṃkāratilaka V,	13
sch	Kautukar.	12
sch	Jātakam. 10.	12
sch	Kautukas.	12
sch	Jātakam. 28.	12
sch	Jātakam. 20.	11
sch	Jātakam. 25.	10
sch	Mahāvy. 46.	10
